"CUST_ID","TARGET","AGE","GENDER","BALANCE","OCCUPATION","AGE_BKT","SCR","HOLDING_PERIOD","ACC_TYPE","ACC_OP_DATE","LEN_OF_RLTN_IN_MNTH","NO_OF_L_CR_TXNS","NO_OF_L_DR_TXNS","TOT_NO_OF_L_TXNS","NO_OF_BR_CSH_WDL_DR_TXNS","NO_OF_ATM_DR_TXNS","NO_OF_NET_DR_TXNS","NO_OF_MOB_DR_TXNS","NO_OF_CHQ_DR_TXNS","FLG_HAS_CC","AMT_ATM_DR","AMT_BR_CSH_WDL_DR","AMT_CHQ_DR","AMT_NET_DR","AMT_MOB_DR","AMT_L_DR","FLG_HAS_ANY_CHGS","AMT_OTH_BK_ATM_USG_CHGS","AMT_MIN_BAL_NMC_CHGS","NO_OF_IW_CHQ_BNC_TXNS","NO_OF_OW_CHQ_BNC_TXNS","AVG_AMT_PER_ATM_TXN","AVG_AMT_PER_CSH_WDL_TXN","AVG_AMT_PER_CHQ_TXN","AVG_AMT_PER_NET_TXN","AVG_AMT_PER_MOB_TXN","FLG_HAS_NOMINEE","FLG_HAS_OLD_LOAN","random"
"C17601",0,26,"M",268242.64,"PROF","26-30",776,5,"SA","1/31/2010",88,10,6,16,2,1,1,0,2,1,6500,189850,65330,102224,0,363904,0,0,0,0,0,6500,94925,32665,102224,0,1,0,0.167438381351531
"C3833",0,45,"M",139815.58,"SELF-EMP","41-45",915,10,"SA","9/6/2014",33,4,3,7,1,0,0,0,2,0,0,525910,73540,0,0,599450,0,0,0,0,0,0,525910,36770,0,0,1,1,0.167453092290089
"C5362",0,50,"M",1445724.92,"PROF","46-50",659,18,"SA","10/29/2012",55,4,3,7,2,0,0,0,1,1,0,907720,0,0,0,907720,0,0,0,0,0,0,453860,0,0,0,1,0,0.167465222300962
"C17422",0,28,"F",85435.3,"SENP","26-30",823,6,"CA","6/9/2000",204,20,26,46,8,3,8,2,5,0,9600,911470,869490,735227,17602,2543389,0,0,0,0,0,3200,113933.75,173898,91903.38,8801,1,0,0.167476365808398
"C13829",0,33,"M",226750.84,"PROF","31-35",798,7,"SA","4/2/2006",134,3,2,5,1,0,0,0,1,0,0,8140,0,0,0,8140,0,0,0,0,0,0,8140,0,0,0,1,0,0.167584025766701
"C6528",0,26,"M",642073.49,"SAL","26-30",120,12,"SA","11/2/2009",91,8,6,14,1,1,0,0,4,0,13300,572060,81280,0,0,666640,0,0,0,0,0,13300,572060,20320,0,0,1,0,0.167731752619147
"C16243",0,55,"M",42044.72,"SAL",">50",470,7,"CA","6/20/2008",107,29,27,56,12,3,8,2,2,0,25900,102390,73140,831994,6227,1039651,1,0,0,0,1,8633.33,8532.5,36570,103999.25,3113.5,1,0,0.167746244231239
"C15536",0,54,"M",1921388.56,"SELF-EMP",">50",167,6,"SA","12/4/2000",198,4,3,7,1,0,0,0,2,0,0,604910,77430,0,0,682340,0,0,0,0,0,0,604910,38715,0,0,1,1,0.167792059946805
"C5303",0,40,"M",1025633.07,"PROF","36-40",953,31,"SA","9/29/2010",80,6,3,9,0,1,1,1,0,1,19900,0,0,70563,15292,105755,0,0,0,0,0,19900,0,0,70563,15292,1,1,0.167839285219088
"C14415",0,27,"F",213784.21,"SAL","26-30",962,3,"SA","3/17/2011",75,12,6,18,1,1,0,0,4,0,2100,830370,76440,0,0,908910,0,0,0,0,0,2100,830370,19110,0,0,1,0,0.167942359577864
"C1179",0,32,"M",5847.3,"SAL","31-35",208,18,"SA","9/28/2004",152,5,6,11,0,1,1,0,4,0,4500,0,24810,393210,0,422520,0,0,0,0,1,4500,0,6202.5,393210,0,1,0,0.167986340355128
"C8682",0,54,"M",1032212.94,"PROF",">50",125,13,"SA","8/24/2001",189,11,6,17,2,1,1,0,2,1,14800,747260,17320,204012,0,983392,0,0,0,0,0,14800,373630,8660,204012,0,1,1,0.167992731090635
"C15746",0,24,"M",214015,"SAL","<25",429,3,"CA","6/10/2000",204,28,26,54,11,3,8,2,2,0,7400,123940,16980,997883,33231,1179434,0,0,0,0,0,2466.67,11267.27,8490,124735.38,16615.5,1,0,0.168104711687192
"C10465",0,54,"M",1177513.62,"SAL",">50",198,31,"SA","4/2/2011",74,16,2,18,1,1,0,0,0,1,4200,183590,0,0,0,187790,0,0,0,0,0,4200,183590,0,0,0,1,1,0.168199936393648
"C16984",0,42,"M",3017.2,"PROF","41-45",601,9,"SA","2/21/2002",183,8,6,14,0,1,1,0,4,0,12000,0,95850,406586,0,514436,0,0,0,0,0,12000,0,23962.5,406586,0,1,1,0.168217782396823
"C10168",0,30,"M",39980.12,"PROF","26-30",227,20,"CA","6/11/2001",192,59,3,62,1,2,0,0,0,0,4200,943230,0,0,0,947430,0,0,0,0,0,2100,943230,0,0,0,1,1,0.168321147328243
"C5416",0,28,"F",2589880.49,"SENP","26-30",240,26,"SA","1/22/2004",160,10,3,13,3,0,0,0,0,0,0,77810,0,0,0,77810,0,0,0,0,0,0,25936.67,0,0,0,0,0,0.168331792810932
"C11471",0,51,"M",12471.94,"SENP",">50",618,11,"SA","1/29/2005",148,3,2,5,0,0,0,0,2,0,0,0,51820,0,0,51820,0,0,0,0,0,0,0,25910,0,0,0,0,0.168569206725806
"C13349",1,43,"M",27006.38,"SELF-EMP","41-45",639,10,"SA","1/13/2009",101,14,14,28,4,2,3,1,4,0,24900,796430,45190,858338,176522,1901380,0,0,0,0,0,12450,199107.5,11297.5,286112.67,176522,1,0,0.168683177093044
"C12094",0,25,"M",98779.38,"PROF","<25",272,21,"SA","3/18/2005",146,12,3,15,0,2,1,0,0,0,2200,0,0,136078,0,138278,1,0,0,0,0,1100,0,0,136078,0,1,0,0.16874998039566
"C13698",0,39,"M",583466.45,"SENP","36-40",125,5,"SA","10/1/2010",80,11,5,16,1,1,1,0,2,1,15200,698160,81950,43879,0,839189,0,0,0,0,0,15200,698160,40975,43879,0,1,0,0.168759434483945
"C5466",0,38,"M",179276.14,"SAL","36-40",304,14,"CA","8/23/2006",129,35,21,56,12,2,6,1,0,1,31700,290130,0,22473,23324,367627,0,0,0,0,0,15850,24177.5,0,3745.5,23324,1,1,0.168820399558172
"C14534",0,30,"F",962225.24,"SAL","26-30",767,5,"SA","5/20/2012",60,18,14,32,4,2,3,1,4,1,14900,844820,16140,180268,15900,1072028,0,0,0,0,0,7450,211205,4035,60089.33,15900,1,1,0.168927357066423
"C4909",0,32,"M",42241.48,"PROF","31-35",319,25,"CA","2/19/2005",147,27,2,29,1,0,0,0,1,0,0,513280,39800,0,0,553080,0,0,0,0,0,0,513280,39800,0,0,1,1,0.168936711968854
"C17815",0,55,"M",157511.19,"PROF",">50",637,7,"SA","8/9/2012",58,5,6,11,1,1,0,0,4,0,3400,108750,91990,0,0,204140,0,0,0,0,0,3400,108750,22997.5,0,0,0,0,0.169022806221619
"C5777",0,36,"M",83306.21,"SAL","36-40",473,15,"CA","11/21/2012",54,4,4,8,3,0,0,0,1,0,0,37500,0,0,0,37500,0,0,0,0,0,0,12500,0,0,0,1,1,0.169115245575085
"C5984",0,39,"F",1645982.68,"SENP","36-40",673,19,"CA","3/18/2014",38,19,4,23,2,0,1,1,0,1,0,565220,0,918610,178269,1662099,0,0,0,0,0,0,282610,0,918610,178269,1,0,0.169149383669719
"C15549",0,33,"M",2440914.06,"SELF-EMP","31-35",214,1,"SA","7/8/2001",191,6,4,10,2,0,0,0,2,0,0,140780,54230,0,0,195010,0,0,0,0,0,0,70390,27115,0,0,1,0,0.169301426503807
"C7857",0,29,"F",120644.61,"SENP","26-30",326,17,"SA","3/15/2005",147,12,6,18,0,1,1,0,4,1,12900,0,14030,740212,0,767142,0,0,0,0,0,12900,0,3507.5,740212,0,0,0,0.169314414029941
"C14341",0,35,"F",42164.25,"SENP","31-35",746,5,"SA","2/2/2002",184,12,6,18,2,1,1,0,2,0,14600,99650,67270,274907,0,456427,0,0,0,0,0,14600,49825,33635,274907,0,1,1,0.169415339594707
"C12225",1,21,"F",105749.76,"SENP","<25",356,31,"SA","8/25/2001",189,9,3,12,1,0,1,0,1,1,0,46150,48060,52624,0,146834,0,0,0,1,0,0,46150,48060,52624,0,1,0,0.169418475823477
"C9699",0,39,"F",1382260.52,"SENP","36-40",233,12,"SA","8/25/2013",45,6,5,11,1,1,1,0,2,1,14700,741940,19410,653825,0,1429875,1,0,0,1,0,14700,741940,9705,653825,0,0,0,0.169472405919805
"C5628",0,33,"M",356670.13,"SAL","31-35",211,25,"SA","8/1/2001",190,12,2,14,1,1,0,0,0,0,8900,618320,0,0,0,627220,0,0,0,0,0,8900,618320,0,0,0,1,1,0.169472790323198
"C15559",0,47,"F",466460.15,"PROF","46-50",916,8,"SA","6/30/2001",191,12,6,18,2,1,1,0,2,1,17500,65770,91840,335106,0,510216,0,0,0,0,0,17500,32885,45920,335106,0,0,0,0.16956833540462
"C4947",0,50,"M",42243.55,"PROF","46-50",618,24,"SA","5/26/2008",108,8,4,12,0,2,1,1,0,0,48800,0,0,763232,27404,839436,0,0,0,0,0,24400,0,0,763232,27404,1,1,0.169650034047663
"C3776",0,45,"M",2705875.31,"PROF","41-45",140,14,"SA","3/8/2012",63,10,5,15,1,1,1,0,2,0,7800,790510,91580,760787,0,1650677,0,0,0,1,0,7800,790510,45790,760787,0,1,0,0.169682282721624
"C5836",0,53,"M",124500.74,"SENP",">50",239,20,"SA","8/6/2005",142,5,4,9,1,0,0,0,3,1,0,270160,18290,0,0,288450,0,0,0,0,1,0,270160,6096.67,0,0,1,1,0.169695335207507
"C7685",0,50,"M",123625.33,"SELF-EMP","46-50",318,15,"SA","3/9/2013",51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.169753831345588
"C510",0,29,"F",1040686.07,"SENP","26-30",149,29,"SA","5/7/2006",133,11,1,12,0,1,0,0,0,0,8000,0,0,0,0,8000,0,0,0,0,0,8000,0,0,0,0,1,0,0.169786176178604
"C5116",0,45,"F",887583.58,"PROF","41-45",713,22,"SA","3/29/2013",50,2,2,4,1,1,0,0,0,0,13000,895110,0,0,0,908110,0,0,0,0,0,13000,895110,0,0,0,1,0,0.169818615773693
"C20",0,36,"F",868510.49,"SELF-EMP","36-40",311,21,"SA","3/23/2012",62,7,1,8,1,0,0,0,0,0,0,109290,0,0,0,109290,0,0,0,0,0,0,109290,0,0,0,1,1,0.169842306524515
"C19",0,37,"M",1314655.37,"SAL","36-40",102,31,"CA","5/18/1999",216,29,2,31,2,0,0,0,0,1,0,755870,0,0,0,755870,0,0,0,0,0,0,377935,0,0,0,1,1,0.170028101652861
"C1813",0,54,"F",40259.34,"SAL",">50",137,30,"SA","4/23/2000",205,12,4,16,2,2,0,0,0,0,46100,118820,0,0,0,164920,0,0,0,0,0,23050,59410,0,0,0,1,1,0.170074151828885
"C14837",0,53,"M",643774.11,"PROF",">50",867,6,"CA","9/19/2003",164,7,7,14,1,1,1,0,4,0,19800,349350,35640,550504,0,955294,0,0,0,0,0,19800,349350,8910,550504,0,1,0,0.170094520319253
"C9239",0,51,"M",42143.39,"SAL",">50",231,17,"SA","8/2/2005",142,11,6,17,2,1,1,0,2,0,13000,896200,13850,706860,0,1629910,1,0,0,0,0,13000,448100,6925,706860,0,1,0,0.170147617580369
"C12692",1,28,"F",3543653.68,"SENP","26-30",775,25,"CA","2/9/2004",160,34,2,36,0,0,1,1,0,0,0,0,0,237591,55029,292620,0,0,0,0,0,0,0,0,237591,55029,1,0,0.170207616174594
"C19415",0,54,"M",111573.41,"SAL",">50",555,8,"SA","11/8/2001",187,5,5,10,1,1,1,0,2,0,1200,330500,39770,544137,0,915607,0,0,0,0,0,1200,330500,19885,544137,0,1,0,0.170241316547617
"C4688",0,52,"M",1002330.71,"SAL",">50",155,11,"CA","9/4/1999",213,58,23,81,2,3,7,1,10,0,62300,625570,865910,41285,65064,1660129,0,0,0,0,0,20766.67,312785,86591,5897.86,65064,1,1,0.170252695912495
"C755",0,45,"F",1476821.53,"PROF","41-45",266,17,"CA","3/17/2000",207,2,2,4,1,0,0,0,1,0,0,757820,0,0,0,757820,0,0,0,0,0,0,757820,0,0,0,1,0,0.170277162687853
"C10714",0,24,"F",91098.45,"SELF-EMP","<25",630,16,"SA","12/17/2000",198,7,5,12,1,1,1,0,2,0,15900,788930,86680,60196,0,951706,0,0,0,0,0,15900,788930,43340,60196,0,1,1,0.170323520665988
"C7114",0,40,"F",186358.75,"SENP","36-40",393,14,"SA","2/26/2002",183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.170438141096383
"C6641",0,49,"F",698176.57,"PROF","46-50",215,26,"SA","12/18/2000",197,20,4,24,2,1,0,0,1,1,19100,261980,46080,0,0,327160,0,0,0,0,0,19100,130990,46080,0,0,1,0,0.170508653391153
"C18539",0,24,"M",3206677.73,"SENP","<25",183,5,"SA","6/1/1999",216,6,4,10,1,0,0,0,3,1,0,40600,73080,0,0,113680,0,0,0,0,0,0,40600,24360,0,0,1,1,0.170665859011933
"C15589",0,37,"M",75042.3,"SAL","36-40",187,1,"SA","2/18/1999",219,6,6,12,1,1,0,0,4,0,3800,193450,80900,0,0,278150,0,0,0,0,0,3800,193450,20225,0,0,1,0,0.170685969525948
"C5548",0,40,"M",44017.85,"SAL","36-40",694,10,"SA","8/22/2006",129,2,2,4,0,0,0,0,2,0,0,0,32370,0,0,32370,0,0,0,0,0,0,0,16185,0,0,1,1,0.170785779831931
"C16728",0,53,"M",166810.12,"SAL",">50",134,8,"SA","1/30/2000",208,20,16,36,5,2,0,1,8,1,8000,860630,629140,0,141635,1639405,0,0,0,0,0,4000,172126,78642.5,0,141635,1,0,0.17080218042247
"C18497",0,28,"F",266662.26,"PROF","26-30",330,5,"SA","3/29/2000",206,2,2,4,0,0,0,0,2,0,0,0,82510,0,0,82510,1,0,0,0,1,0,0,41255,0,0,1,1,0.170855375239626
"C1917",0,32,"F",281955.94,"SELF-EMP","31-35",235,30,"CA","8/11/2005",142,32,3,35,0,0,1,1,1,0,0,0,83120,544304,68073,695497,0,0,0,0,0,0,0,83120,544304,68073,1,0,0.170856923563406
"C15821",0,46,"M",423675.12,"SENP","46-50",196,9,"SA","9/8/2009",93,7,5,12,0,1,0,0,4,0,18700,0,88030,0,0,106730,0,0,0,0,0,18700,0,22007.5,0,0,1,0,0.170919337775558
"C18828",0,38,"F",453675.19,"PROF","36-40",350,5,"SA","1/17/2011",77,14,7,21,1,1,1,0,4,0,17000,269210,71370,789858,0,1147438,0,0,0,0,0,17000,269210,17842.5,789858,0,0,0,0.170924978563562
"C13352",1,50,"M",113879.2,"SENP","46-50",151,21,"SA","4/30/2000",205,4,2,6,0,1,1,0,0,0,700,0,0,195487,0,196187,0,0,0,0,0,700,0,0,195487,0,1,1,0.171006297692657
"C2638",0,35,"F",215628.29,"SENP","31-35",169,21,"SA","10/10/2006",128,18,2,20,0,1,1,0,0,1,4900,0,0,218880,0,223780,0,0,0,0,0,4900,0,0,218880,0,1,0,0.171078888932243
"C10764",0,24,"M",480347.73,"SAL","<25",156,21,"SA","3/31/2002",182,14,4,18,2,1,0,0,1,0,4500,202050,20120,0,0,226670,0,0,0,0,0,4500,101025,20120,0,0,1,1,0.171301649650559
"C6969",0,44,"M",212902.44,"SAL","41-45",400,19,"SA","5/1/2001",193,5,6,11,1,1,0,0,4,0,13400,230540,73370,0,0,317310,0,0,0,0,0,13400,230540,18342.5,0,0,1,1,0.171339334221557
"C16206",1,43,"M",408307.1,"SENP","41-45",945,3,"SA","5/20/2001",192,11,5,16,1,1,1,0,2,1,17500,137900,61270,924589.61,0,1141259.61,0,0,0,0,0,17500,137900,30635,924589.61,0,0,1,0.171477432828397
"C10469",0,25,"M",894969.32,"SELF-EMP","<25",450,20,"SA","1/17/2014",41,4,3,7,2,0,0,0,1,0,0,420880,0,0,0,420880,0,0,0,0,0,0,210440,0,0,0,0,1,0.17149131372571
"C11558",0,26,"F",1195809.11,"PROF","26-30",243,25,"SA","1/2/2012",65,10,2,12,0,0,2,0,0,0,0,0,0,256878,0,256878,0,0,0,0,0,0,0,0,128439,0,1,0,0.171625704271719
"C13285",1,36,"F",57376.05,"SELF-EMP","36-40",712,21,"SA","12/29/2010",77,11,3,14,2,1,0,0,0,1,9200,187490,0,0,0,196690,1,0,0,0,0,9200,93745,0,0,0,1,0,0.171723973704502
"C9329",0,46,"M",229290.55,"SELF-EMP","46-50",197,27,"SA","9/3/2014",33,18,2,20,0,1,1,0,0,0,3800,0,0,190593,0,194393,0,0,0,0,0,3800,0,0,190593,0,1,1,0.171790971187875
"C12517",1,31,"M",263736.13,"PROF","31-35",754,18,"CA","11/21/2008",102,8,8,16,1,1,1,0,5,0,2300,815500,776410,329376,0,1923586,0,0,0,0,0,2300,815500,155282,329376,0,1,0,0.171834257198498
"C11852",0,34,"M",101598.65,"SAL","31-35",168,11,"SA","11/15/2007",115,20,14,34,0,2,4,1,7,0,2200,0,346850,170678,58377,578105,0,0,0,0,0,1100,0,49550,42669.5,58377,0,1,0.172036805190146
"C8062",0,44,"M",707792.14,"PROF","41-45",311,26,"SA","9/4/2014",33,14,4,18,1,2,1,0,0,1,3800,705980,0,901400,0,1611180,0,0,0,0,0,1900,705980,0,901400,0,1,1,0.172113836975768
"C4309",0,45,"M",1578966.5,"SAL","41-45",876,21,"SA","3/7/2003",171,13,3,16,3,0,0,0,0,0,0,157790,0,0,0,157790,0,0,0,0,0,0,52596.67,0,0,0,1,1,0.172139995498583
"C4504",0,29,"M",10357.73,"SELF-EMP","26-30",877,21,"SA","10/6/2010",80,8,4,12,0,2,1,0,1,0,25100,0,46190,869543,0,940833,0,0,0,0,0,12550,0,46190,869543,0,1,1,0.172178357141092
"C5034",0,49,"M",190467.77,"SAL","46-50",286,24,"SA","2/22/2006",135,14,3,17,1,0,1,1,0,0,0,119960,0,720528,77411,917899,0,0,0,0,0,0,119960,0,720528,77411,1,1,0.172183685004711
"C17197",1,34,"M",645024.88,"PROF","31-35",869,3,"CA","4/27/2011",73,67,66,133,0,21,20,24,1,0,147000,0,94360,36567,161850,439777,1,250,0,0,0,7000,0,94360,1828.35,6743.75,1,1,0.172199337976053
"C10704",0,28,"F",553352.04,"SENP","26-30",567,19,"SA","6/24/2005",143,8,6,14,1,1,0,0,4,0,6900,592930,56540,0,0,656370,0,0,0,0,0,6900,592930,14135,0,0,1,1,0.172212303616107
"C12944",1,37,"M",118389.69,"PROF","36-40",422,13,"SA","8/28/2009",93,18,7,25,2,1,0,0,4,0,1900,236020,70530,0,0,308450,0,0,0,0,0,1900,118010,17632.5,0,0,1,1,0.172262376174331
"C8437",0,43,"F",2006848.36,"SAL","41-45",256,22,"SA","10/25/2008",103,2,2,4,0,2,0,0,0,0,22000,0,0,0,0,22000,0,0,0,0,0,11000,0,0,0,0,1,1,0.172295978758484
"C13870",0,41,"M",18352.67,"SAL","41-45",159,1,"SA","12/21/2013",41,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.172298557357863
"C10741",0,40,"F",231237.64,"PROF","36-40",196,22,"SA","2/13/2003",172,16,1,17,1,0,0,0,0,1,0,241620,0,0,0,241620,0,0,0,0,0,0,241620,0,0,0,1,1,0.172307117143646
"C19401",0,54,"M",71887.91,"SAL",">50",680,1,"SA","9/5/1999",213,6,6,12,1,1,0,0,4,0,15500,780,41240,0,0,57520,0,0,0,0,0,15500,780,10310,0,0,1,1,0.172327516367659
"C9411",0,48,"F",1136890.47,"SELF-EMP","46-50",842,25,"SA","6/26/2008",107,13,4,17,0,3,0,1,0,0,40300,0,0,0,129471,169771,0,0,0,0,0,13433.33,0,0,0,129471,1,1,0.172392068663612
"C11088",0,35,"M",34450.83,"SAL","31-35",142,23,"SA","12/28/2005",137,20,2,22,0,2,0,0,0,0,17900,0,0,0,0,17900,0,0,0,0,0,8950,0,0,0,0,1,1,0.172486486844718
"C17620",0,30,"M",1138915.82,"SENP","26-30",900,2,"CA","3/3/2008",111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.172568532638252
"C5252",0,52,"M",718912.99,"SAL",">50",954,18,"SA","1/7/2003",173,5,6,11,1,1,0,0,4,1,10500,567900,95440,0,0,673840,0,0,0,1,0,10500,567900,23860,0,0,1,0,0.172614196781069
"C8398",0,47,"F",240058.1,"SENP","46-50",989,21,"SA","12/9/2011",66,10,4,14,1,2,0,0,1,1,27000,915670,66680,0,0,1009350,0,0,0,0,0,13500,915670,66680,0,0,1,0,0.172636830247939
"C13073",1,51,"M",303361.38,"SENP",">50",655,14,"SA","6/9/2008",108,14,13,27,7,1,4,1,0,0,7800,643850,0,447740,830,1100220,0,0,0,0,0,7800,91978.57,0,111935,830,1,0,0.172681134892628
"C4163",0,48,"F",107322.09,"SENP","46-50",135,16,"CA","12/3/2009",90,19,1,20,0,1,0,0,0,1,3000,0,0,0,0,3000,0,0,0,0,0,3000,0,0,0,0,1,1,0.172739753266796
"C6252",0,41,"M",309275.47,"SAL","41-45",569,10,"SA","8/7/2008",106,3,2,5,1,0,0,0,1,0,0,183630,0,0,0,183630,0,0,0,0,0,0,183630,0,0,0,1,0,0.172874954529107
"C5861",0,42,"M",268690.59,"SAL","41-45",148,13,"SA","11/11/2007",115,10,5,15,1,1,1,0,2,0,16800,980410,97280,747832,0,1842322,0,0,0,0,0,16800,980410,48640,747832,0,1,1,0.172906072577462
"C8635",0,27,"M",328553.83,"SELF-EMP","26-30",900,14,"CA","3/12/2000",207,62,1,63,0,1,0,0,0,0,2300,0,0,0,0,2300,1,0,0,0,0,2300,0,0,0,0,1,1,0.173085816670209
"C546",0,28,"M",129146.95,"PROF","26-30",714,13,"SA","5/13/2014",37,9,5,14,1,1,1,0,2,0,14600,534290,97030,738859,0,1384779,0,0,0,0,0,14600,534290,48515,738859,0,1,1,0.173141328850761
"C2594",0,38,"M",31702.64,"PROF","36-40",176,26,"SA","8/23/2009",93,5,4,9,1,2,0,0,1,1,42300,358210,18690,0,0,419200,0,0,0,0,0,21150,358210,18690,0,0,1,1,0.173178546829149
"C7090",0,50,"F",376403.47,"PROF","46-50",178,21,"SA","2/24/2013",51,15,3,18,0,1,1,0,1,0,14700,0,69640,922171,0,1006511,0,0,0,0,0,14700,0,69640,922171,0,1,0,0.173228877363726
"C3414",0,28,"F",2067745.39,"PROF","26-30",293,19,"SA","8/24/2010",81,8,5,13,2,1,1,0,1,0,10300,757110,0,876261,0,1643671,0,0,0,0,0,10300,378555,0,876261,0,0,1,0.173305046977475
"C11108",0,42,"F",27312.94,"SENP","41-45",237,23,"SA","12/7/2003",162,8,1,9,1,0,0,0,0,0,0,768470,0,0,0,768470,0,0,0,0,0,0,768470,0,0,0,1,0,0.173310570418835
"C4062",0,24,"M",843754.59,"SENP","<25",255,17,"SA","7/3/2003",167,15,8,23,2,1,1,0,4,0,9000,284190,74870,601658,0,969718,0,0,0,0,0,9000,142095,18717.5,601658,0,1,1,0.173342043301091
"C19954",0,52,"M",78881.6,"SAL",">50",407,2,"SA","12/28/1999",209,6,4,10,1,0,0,0,3,0,0,350360,76320,0,0,426680,0,0,0,0,0,0,350360,25440,0,0,1,1,0.173416391015053
"C14757",0,30,"M",259557.09,"SELF-EMP","26-30",396,5,"SA","4/5/2004",158,6,5,11,2,1,1,0,1,0,7300,925700,0,134395,0,1067395,0,0,0,0,0,7300,462850,0,134395,0,1,1,0.17357565741986
"C6796",0,54,"M",43783.29,"SELF-EMP",">50",294,23,"SA","2/20/2010",87,6,2,8,1,1,0,0,0,0,6600,150610,0,0,0,157210,0,0,0,0,0,6600,150610,0,0,0,1,1,0.173606709111482
"C2855",0,32,"M",424602.86,"SELF-EMP","31-35",258,21,"SA","10/31/2000",199,3,1,4,0,0,0,1,0,0,0,0,0,0,191029,191029,0,0,0,0,0,0,0,0,0,191029,1,0,0.17361517297104
"C10441",0,28,"F",8344.23,"SAL","26-30",319,14,"SA","5/6/2004",157,5,4,9,2,0,0,0,2,0,0,591010,90920,0,0,681930,0,0,0,0,0,0,295505,45460,0,0,1,0,0.173723971704021
"C4231",0,32,"M",2309395.63,"SAL","31-35",365,18,"CA","7/14/2004",155,8,8,16,3,1,0,0,4,0,15200,42920,82850,0,0,140970,0,0,0,1,1,15200,14306.67,20712.5,0,0,1,1,0.173758535645902
"C13182",1,40,"M",252180.38,"SENP","36-40",650,31,"SA","8/15/2008",106,14,2,16,1,1,0,0,0,1,17800,531900,0,0,0,549700,0,0,0,0,0,17800,531900,0,0,0,1,0,0.173836391884834
"C7729",0,34,"M",183164.28,"SELF-EMP","31-35",857,16,"SA","4/19/2006",133,10,5,15,1,1,1,0,2,1,100,50310,50620,312894,0,413924,0,0,0,0,0,100,50310,25310,312894,0,1,1,0.173865359043702
"C13815",0,55,"M",1725167.18,"PROF",">50",661,8,"SA","2/22/2007",123,12,6,18,2,1,1,0,2,1,19900,428750,94690,307630,0,850970,0,0,0,0,0,19900,214375,47345,307630,0,1,0,0.173889864236116
"C5111",0,36,"M",587486.42,"SENP","36-40",500,12,"CA","8/28/2006",129,23,30,53,15,3,9,2,1,0,73700,517360,44120,217984,64357,917521,0,0,0,0,0,24566.67,34490.67,44120,24220.44,32178.5,1,1,0.173963786568493
"C19837",0,40,"M",96215.67,"SELF-EMP","36-40",769,5,"CA","7/29/2012",58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.174095929833129
"C15427",0,27,"M",55516.42,"SELF-EMP","26-30",288,8,"SA","3/8/2014",39,14,6,20,2,1,1,0,2,0,2000,445460,35690,468416,0,951566,0,0,0,0,0,2000,222730,17845,468416,0,1,0,0.174104039324448
"C921",0,22,"F",949060.71,"SENP","<25",334,26,"SA","6/4/2011",72,3,2,5,0,0,0,2,0,0,0,0,0,0,102143,102143,0,0,0,0,0,0,0,0,0,51071.5,1,1,0.174140892457217
"C6380",0,44,"M",94234.96,"PROF","41-45",187,12,"SA","8/28/2010",81,5,5,10,1,1,1,0,2,0,16400,62840,19070,606636,0,704946,0,0,0,0,0,16400,62840,9535,606636,0,1,0,0.174159856280312
"C5079",0,34,"M",83643.23,"PROF","31-35",977,30,"CA","5/6/2001",193,34,4,38,4,0,0,0,0,0,0,610770,0,0,0,610770,1,0,0,0,0,0,152692.5,0,0,0,1,1,0.174201683606952
"C9427",0,42,"M",43239.46,"SAL","41-45",446,22,"SA","11/11/2013",43,8,3,11,3,0,0,0,0,1,0,290950,0,0,0,290950,0,0,0,0,0,0,96983.33,0,0,0,1,0,0.174208123469725
"C5115",0,38,"F",3405202.67,"PROF","36-40",101,25,"SA","3/7/2003",171,6,3,9,0,0,0,1,2,0,0,0,37890,0,130865,168755,0,0,0,0,0,0,0,18945,0,130865,1,1,0.174298234283924
"C2349",0,34,"M",894418.41,"SENP","31-35",702,10,"SA","10/13/2002",176,10,5,15,1,1,1,0,2,0,10000,972870,61070,995640,0,2039580,0,0,0,0,0,10000,972870,30535,995640,0,1,0,0.174317735014483
"C14662",0,31,"M",861900.64,"SENP","31-35",881,4,"SA","6/13/2011",72,10,6,16,0,1,1,0,4,0,3700,0,13850,995339,0,1012889,0,0,0,0,0,3700,0,3462.5,995339,0,1,0,0.174374592257664
"C17457",0,24,"M",383062.35,"SENP","<25",261,6,"SA","11/23/2006",126,6,5,11,1,1,1,0,2,0,7700,864770,53140,28393,0,954003,0,0,0,0,0,7700,864770,26570,28393,0,1,0,0.174407730810344
"C2937",0,42,"F",206303.31,"SAL","41-45",493,18,"SA","7/3/2007",119,8,6,14,3,1,1,0,1,0,15000,414770,0,770294,0,1200064,1,0,0,0,0,15000,138256.67,0,770294,0,1,0,0.174526139628142
